taskinstr_resp.keys,taskinstr_resp.rt,task_instr_loop.thisRepN,task_instr_loop.thisTrialN,task_instr_loop.thisN,task_instr_loop.thisIndex,task_instr_loop.ran,instruct_num,instruct_text,participant,date,expName,psychopyVersion,OS,frameRate,sentence_resp.keys,sentence_resp.rt,probe_resp.keys,passage1_loop.thisRepN,passage1_loop.thisTrialN,passage1_loop.thisN,passage1_loop.thisIndex,passage1_loop.ran,passage,line,line_text,probe,condition,condition_num,set,probe_resp.rt,compr_instr_resp.keys,compr_instr_resp.rt,comprehension_resp.keys,comprehension_resp.corr,comprehension_resp.rt,comprehension1_loop.thisRepN,comprehension1_loop.thisTrialN,comprehension1_loop.thisN,comprehension1_loop.thisIndex,comprehension1_loop.ran,correct_response,passage2_loop.thisRepN,passage2_loop.thisTrialN,passage2_loop.thisN,passage2_loop.thisIndex,passage2_loop.ran,comprehension2_loop.thisRepN,comprehension2_loop.thisTrialN,comprehension2_loop.thisN,comprehension2_loop.thisIndex,comprehension2_loop.ran,passage3_loop.thisRepN,passage3_loop.thisTrialN,passage3_loop.thisN,passage3_loop.thisIndex,passage3_loop.ran,comprehension3_loop.thisRepN,comprehension3_loop.thisTrialN,comprehension3_loop.thisN,comprehension3_loop.thisIndex,comprehension3_loop.ran,passage4_loop.thisRepN,passage4_loop.thisTrialN,passage4_loop.thisN,passage4_loop.thisIndex,passage4_loop.ran,comprehension4_loop.thisRepN,comprehension4_loop.thisTrialN,comprehension4_loop.thisN,comprehension4_loop.thisIndex,comprehension4_loop.ran,passage5_loop.thisRepN,passage5_loop.thisTrialN,passage5_loop.thisN,passage5_loop.thisIndex,passage5_loop.ran,comprehension5_loop.thisRepN,comprehension5_loop.thisTrialN,comprehension5_loop.thisN,comprehension5_loop.thisIndex,comprehension5_loop.ran,passage6_loop.thisRepN,passage6_loop.thisTrialN,passage6_loop.thisN,passage6_loop.thisIndex,passage6_loop.ran,comprehension6_loop.thisRepN,comprehension6_loop.thisTrialN,comprehension6_loop.thisN,comprehension6_loop.thisIndex,comprehension6_loop.ran,passage7_loop.thisRepN,passage7_loop.thisTrialN,passage7_loop.thisN,passage7_loop.thisIndex,passage7_loop.ran,comprehension7_loop.thisRepN,comprehension7_loop.thisTrialN,comprehension7_loop.thisN,comprehension7_loop.thisIndex,comprehension7_loop.ran,passage8_loop.thisRepN,passage8_loop.thisTrialN,passage8_loop.thisN,passage8_loop.thisIndex,passage8_loop.ran,comprehension8_loop.thisRepN,comprehension8_loop.thisTrialN,comprehension8_loop.thisN,comprehension8_loop.thisIndex,comprehension8_loop.ran,Thankyou_resp.keys,Thankyou_resp.rt
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,5.937645,,0,4,4,4,1,1,4,"One morning, soon after their nuptials, Elizabeth Browning thrust a manuscript into her husband’s pocket, and then scampered upstairs in a swift confusion to her room. ",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,2.61552,,0,5,5,5,1,1,5,"Written during the time of their courtship and love missives, it was a sonnet sequence on their love.",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,4.48742,,0,6,6,6,1,1,6,"These poems were never intended by Mrs. Browning to be published, but her poet husband promptly declared that they must be. ",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,3.24561,,0,7,7,7,1,1,7,The Sonnets from the Portuguese was his suggested title—a title which might shroud the fact that they were personal. ,0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,1.989985,,0,8,8,8,1,1,8,They were in his mind “the finest sonnets written in our language since Shakespeare’s.”,0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,3.16752,,0,9,9,9,1,1,9,"Sonnets from the Portuguese, in Browning’s opinion, was hardly more flattering to his wife than his opinion of most of her poetry. ",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,1.89588,,0,10,10,10,1,1,10,"A better poet than he, thought Browning, and the world at that time agreed with him.",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,1.29724,,0,11,11,11,1,1,11,"He called her his “moon of poets,” as she considered him her sun.",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,1.33032,,0,12,12,12,1,1,12,"She was a pure singer with a lovely lyrical tenderness, the best poet of her sex since Sappho. ",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,2.79514,,0,13,13,13,1,1,13,"Her Sonnets, in their autobiographical candor, in their fine restraint and fullness, reveal a woman’s secret soul as had no other poetry in our literature up to that time. ",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,1.17401,,0,14,14,14,1,1,14,Her lyrical mastery shines in many passages of her writings.,0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,1.03192,,0,15,15,15,1,1,15,Italy was a kind of promised terrain for Elizabeth Browning. ,0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,2.841025,,0,16,16,16,1,1,16,"Living in Florence or in little villages in the summers, she drank in the sun of the south and warmth of her husband’s love, and blossomed in a life of precarious happiness for fifteen years. ",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,1.338265,,0,17,17,17,1,1,17,"In Italy she found friends, most of them cultured Americans.",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,1.52044,n,0,18,18,18,1,1,18,Hawthorne saw the Browning's there: the New England thinker and essayist Margaret Fuller visited them.,1,Diff,1,1,1.26341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,2.652745,,0,19,19,19,1,1,19,"The painter Story came, and the young sculptress Harriet Hosmer. ",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,2.001475,n,0,20,20,20,1,1,20,"One caller records that Robert Browning was “simple, natural, and playful,” and that Mrs. Browning was all ""genius and sensibility.”",1,Diff,1,1,3.065175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,12.130945,n,0,21,21,21,1,1,21,"Daytimes Browning walked forth with Elizabeth's little dog Flush, but he seldom could be lured from his home evenings. ",1,Diff,1,1,1.383525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,4.127605,y,0,22,22,22,1,1,22,"One privileged intruder, coming frequently at night to join the poets over hot chestnuts and mulled wine, found talk good and laughter plentiful.",1,Diff,1,1,1.23004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,3.416425,,0,23,23,23,1,1,23,"During the third year of their stay in Italy, a son, Robert Weidemann Browning, was born.",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,0.7888,,0,24,24,24,1,1,24,But through this happy life a strain of dark foreboding began to creep. ,0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,1.61617,,0,25,25,25,1,1,25,"Elizabeth Browning’s father died unrelenting in his disavowal of her marriage, refusing to see her or to sanction any of his family to see her. ",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,0.77189,,0,26,26,26,1,1,26,Three children all younger than her own boy were left to her by a dearly beloved sister who died. ,0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,0.578685,,0,27,27,27,1,1,27,She drooped and pined a little and Browning shielded her from ordinary visitants. ,0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,0.47164,,0,28,28,28,1,1,28,She had a sudden and alarming attack of indisposition but was not considered in any precariousness. ,0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,1.782685,,0,29,29,29,1,1,29,"One night, soon after, she awoke from a troubled slumber and, apparently with no idea that she was about to leave him, murmured in the tenderest fashion of her love for him, and in his arms her head drooped as though in a faint, but it was the end.",0,Diff,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,1.678785,y,0,30,30,30,1,1,30,"Profound and lasting was Browning's grief. “Looking back,” he said, “I see that we have been all the time walking over a torrent on a straw.”",1,Diff,1,1,1.81595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,,,,,,,,,1,1,"1.     Flush was the name of the Brownings’

a.     Cat
b.     Dog
c.     Canary
d.     Turtle
e.     Thrush",,,,,,space,6.949835,b,1,9.70209,0,0,0,0,1,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,,,,,,,,,1,2,"2.     At night the Brownings often enjoyed

a.     hot chestnuts
b.     a tart with clotted cream
c.      strawberries and cream
d.     café au lait
e.     cheese soufflé",,,,,,,,a,1,8.99138,0,1,1,1,1,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,,,,,,,,,1,3,"3.     The Brownings saw

a.     Coleridge
b.     Byron
c.     Walt Whitman
d.     Poe
e.     Hawthorne",,,,,,,,e,1,5.347625,0,2,2,2,1,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,,,,,,,,,1,4,"4.     Browning wrote to Miss Barrett because she had

a.     invited him to visit
b.     written him for advice
c.     praised his poetry
d.     sent him one of her own poems
e.     sent a friend to meet him",,,,,,,,c,1,11.022185,0,3,3,3,1,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,,,,,,,,,1,5,"5.     The authors of this passage placed most attention on the Brownings’

a.     literary efforts
b.     personal relationship
c.     social contacts
d.     problems
e.     early meeting",,,,,,,,a,0,7.48979,0,4,4,4,1,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,,,,,,,,,1,6,"6.     What best describes the Brownings’ early days abroad?

a.     Travel
b.     Relaxation
c.     Creative activity
d.     Intellectual stimulation
e.     Happiness",,,,,,,,d,0,6.051595,0,5,5,5,1,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,,,,,,,,,1,7,"7.     You would assume that Browning

a.     found it easy to see Elizabeth
b.     carefully avoided Mr. Barrett
c.     begged Mr. Barrett’s consent to marry
d.     understood Mr. Barrett
e.     got Elizabeth to ask her father’s consent",,,,,,,,b,1,13.778855,0,6,6,6,1,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,,,,,,,,,1,8,"8.     In the “torrent on a straw” quotation, the word straw probably refers to

a.     the frailty of life
b.     weakness of character
c.     sorrow
d.     happiness
e.     the fleeting nature of fame",,,,,,,,a,1,11.235195,0,7,7,7,1,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,1.23474,,,,,,,2,0,Passage 2,0,Easy,2,1,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,3.948775,,,,,,,2,1,Marketing is a business activity that directs the flow of goods and services from a producer to a consumer or user.,0,Easy,2,1,,,,,,,,,,,,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,3.635065,,,,,,,2,2,It is the link that connects producers and consumers and brings production and consumption together.,0,Easy,2,1,,,,,,,,,,,,,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M027225,2020-07-27_19h47.37.113,Feng_Mindwandering_Set1,2020.1.3,Win32,60,space,3.4211,,,,,,,2,3,About one in every six employees is involved directly in wholesaling or retailing activities.,0,Easy,2,1,,,,,,,,,,,,,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
