,Subject,part_condition,Passages,trial_difficulty,RT,answers,QuestionNum,MW,Gender,ImplicitWP,MindwanderTheory,Chronotype,ChronotypePM,ChronotypeAM,ChronotypeC,MindwanderTheoryC,ImplicitWP_C,RT_wind_Z,RT_wind
34,23,cond1,2,Easy,2660.17,1,2.1,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.731553416,2660.17
35,23,cond1,2,Easy,2852.19,1,2.2,1,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.697104457,2852.19
36,23,cond1,3,Hard,6264.75,0,3.1,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.084881055,6264.75
37,23,cond1,3,Hard,6101.315,0,3.2,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.11420178,6101.315
38,23,cond1,4,Easy,8424.615,1,4.1,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,0.302605142,8424.615
39,23,cond1,4,Easy,4924.375,0,4.2,NA,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.325348312,4924.375
40,23,cond1,4,Easy,4556.335,0,4.3,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.391375782,4556.335
41,23,cond1,4,Easy,5950.045,0,4.4,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.141340067,5950.045
42,23,cond1,5,Hard,6128.875,0,5.1,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.109257434,6128.875
43,23,cond1,5,Hard,5197.565,1,5.2,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.276337215,5197.565
44,23,cond1,5,Hard,5729.455,0,5.3,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.180914568,5729.455
45,23,cond1,6,Easy,2442.905,1,6.1,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.770531402,2442.905
46,23,cond1,6,Easy,10936.2,1,6.2,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,0.753190953,10936.2
47,23,cond1,6,Easy,3938.315,0,6.3,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.502250406,3938.315
48,23,cond1,7,Hard,2942.55,1,7.1,1,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.680893605,2942.55
49,23,cond1,7,Hard,1351.67,0,7.2,1,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.966302203,1351.67
50,23,cond1,8,Easy,3567.59,0,8.1,1,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.568759572,3567.59
51,23,cond1,8,Easy,3984.065,1,8.2,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,-0.49404272,3984.065
52,23,cond1,8,Easy,10033.625,0,8.3,0,female,25,26,5,-3.897320946,-11.03021529,-7.463768116,4.859375,1.409090909,0.591266316,10033.625
53,24,cond1,1,Hard,6847,0,1.1,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,0.019576325,6847
54,24,cond1,1,Hard,7575,1,1.2,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,0.150181687,7575
55,24,cond1,1,Hard,9105,1,1.3,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,0.424668233,9105
56,24,cond1,1,Hard,8935,1,1.4,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,0.394169727,8935
57,24,cond1,1,Hard,7666,1,1.5,1,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,0.166507358,7666
58,24,cond1,1,Hard,19919,1,1.6,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,2.364731959,19919
59,24,cond1,1,Hard,8258,0,1.7,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,0.272713916,8258
60,24,cond1,2,Easy,3915,0,2.1,1,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.506433186,3915
61,24,cond1,2,Easy,6714,1,2.2,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.004284271,6714
62,24,cond1,3,Hard,9562,1,3.1,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,0.50665539,9562
63,24,cond1,3,Hard,7429,0,3.2,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,0.123988854,7429
64,24,cond1,4,Easy,5919,0,4.1,1,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.146909632,5919
65,24,cond1,4,Easy,6335,0,4.2,NA,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.072277997,6335
66,24,cond1,4,Easy,2111,1,4.3,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.830076145,2111
67,24,cond1,4,Easy,8453,1,4.4,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,0.307697496,8453
68,24,cond1,5,Hard,6215,0,5.1,1,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.093806353,6215
69,24,cond1,5,Hard,9884,0,5.2,1,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,0.564423147,9884
70,24,cond1,5,Hard,8531,0,5.3,1,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,0.321690927,8531
71,24,cond1,6,Easy,2021,1,6.1,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.846222412,2021
72,24,cond1,6,Easy,4117,1,6.2,1,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.470193786,4117
73,24,cond1,6,Easy,2212,0,6.3,1,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.811956445,2212
74,24,cond1,7,Hard,6729,0,7.1,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.001593226,6729
75,24,cond1,7,Hard,5258,1,7.2,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.265494996,5258
76,24,cond1,8,Easy,4567,1,8.1,0,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.389462449,4567
77,24,cond1,8,Easy,3042,1,8.2,1,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,-0.663051979,3042
78,24,cond1,8,Easy,10903,1,8.3,1,female,26,19,11,2.102679054,-5.030215286,-1.463768116,-2.140625,2.409090909,0.747234774,10903
79,25,cond1,1,Hard,7430,1,1.1,1,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,0.124168256,7430
80,25,cond1,1,Hard,7553,1,1.2,1,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,0.146234822,7553
81,25,cond1,1,Hard,4985,1,1.3,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.314472007,4985
82,25,cond1,1,Hard,6965,0,1.4,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,0.040745875,6965
83,25,cond1,1,Hard,5996,0,1.5,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.133095604,5996
84,25,cond1,1,Hard,12576,0,1.6,1,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,1.047375944,12576
85,25,cond1,1,Hard,5784,1,1.7,1,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.171129033,5784
86,25,cond1,2,Easy,4136,1,2.1,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.466785129,4136
87,25,cond1,2,Easy,5126,1,2.2,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.289176188,5126
88,25,cond1,3,Hard,8390,0,3.1,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,0.296395108,8390
89,25,cond1,3,Hard,10729,0,3.2,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,0.716018657,10729
90,25,cond1,4,Easy,3907,1,4.1,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.50786841,3907
