"Condition_Num","booklet","correct","correct_response","passage","response","response_time","total_response_time"
"1","1","0","d","7","n","1929","742389"
"","","1","a","7","a","2796","746598"
"","","0","a","7","b","4372","750970"
"","","0","b","7","a","3473","754443"
"","","0","c","7","e","6623","761066"
"2","1","0","c","8","space","699","761765"
"2","1","0","c","8","space","2666","764431"
"2","1","0","c","8","space","3601","768032"
"2","1","0","c","8","space","2514","770546"
"2","1","0","c","8","space","4050","774596"
"2","1","0","c","8","space","18328","792924"
"2","1","0","c","8","n","1674","794598"
"2","1","0","c","8","space","4176","798774"
"2","1","0","c","8","space","4787","803561"
"2","1","0","c","8","n","1081","804642"
"2","1","0","c","8","space","10016","814658"
"2","1","0","c","8","space","5107","819765"
"2","1","0","c","8","n","1177","820942"
"2","1","0","c","8","space","3297","824239"
"2","1","0","c","8","space","7567","831806"
"","","1","e","8","e","4635","838877"
"","","0","b","8","a","4486","843363"
"","","1","a","8","a","7471","850834"
"","","1","e","8","e","7701","858535"
