"Condition_Num","booklet","correct","correct_response","passage","response","response_time","total_response_time"
"1","1","undefined","NA","1","space","429","4107"
"1","1","undefined","NA","1","space","365","4472"
"1","1","undefined","NA","1","space","247","4719"
"1","1","undefined","NA","1","n","2330","7049"
"1","1","undefined","NA","1","space","878","7927"
"1","1","undefined","NA","1","n","1689","9616"
"1","1","undefined","NA","1","space","528","10144"
"1","1","undefined","NA","1","space","579","10723"
"1","1","undefined","NA","1","space","2965","13688"
"1","1","undefined","NA","1","space","2341","16029"
"1","1","undefined","NA","1","space","3893","19922"
"1","1","undefined","NA","1","space","8294","28216"
"1","1","undefined","NA","1","space","2868","31084"
"1","1","undefined","NA","1","space","4212","35296"
"1","1","undefined","NA","1","space","5029","40325"
"1","1","undefined","NA","1","space","6386","46711"
"1","1","undefined","NA","1","space","3203","49914"
"1","1","undefined","NA","1","space","3141","53055"
"1","1","undefined","NA","1","space","9088","62143"
"1","1","undefined","NA","1","space","2226","64369"
"1","1","undefined","NA","1","space","6681","71050"
"1","1","undefined","NA","1","y","5049","76099"
"1","1","undefined","NA","1","space","8986","85085"
"1","1","undefined","NA","1","space","6752","91837"
"1","1","undefined","NA","1","n","1737","93574"
"1","1","undefined","NA","1","space","9895","103469"
"1","1","undefined","NA","1","n","1802","105271"
"1","1","undefined","NA","1","space","10633","115904"
"1","1","undefined","NA","1","n","1429","117333"
"1","1","undefined","NA","1","space","3721","121054"
"1","1","undefined","NA","1","space","3363","124417"
"1","1","undefined","NA","1","space","5054","129471"
"1","1","undefined","NA","1","space","4180","133651"
"1","1","undefined","NA","1","space","4212","137863"
"1","1","undefined","NA","1","space","3797","141660"
"1","1","undefined","NA","1","space","11901","153561"
"1","1","undefined","NA","1","space","7011","160572"
"1","1","undefined","NA","1","n","1948","162520"
"","","1","b","1","b","17059","186890"
"","","1","a","1","a","4751","191641"
"","","1","e","1","e","5049","196690"
"","","1","c","1","c","23451","220141"
"","","1","b","1","b","18415","238556"
"","","0","e","1","c","12462","251018"
"","","1","b","1","b","20400","271418"
"","","1","a","1","a","6542","277960"
"2","1","0","a","2","space","1728","279688"
"2","1","0","a","2","space","5166","284854"
"2","1","0","a","2","space","5710","290564"
"2","1","0","a","2","space","3023","293587"
"2","1","0","a","2","space","4388","297975"
"2","1","0","a","2","space","1409","299384"
"2","1","0","a","2","space","1533","300917"
"2","1","0","a","2","space","4333","305250"
"2","1","0","a","2","space","2673","307923"
"2","1","0","a","2","n","1578","309501"
"2","1","0","a","2","space","7393","316894"
"2","1","0","a","2","space","2881","319775"
"2","1","0","a","2","space","5973","325748"
"2","1","0","a","2","y","1739","327487"
"2","1","0","a","2","space","15710","343197"
"","","1","c","2","c","7689","354321"
"","","1","d","2","d","9918","364239"
"","","1","d","2","d","5713","369952"
"","","1","e","2","e","5935","375887"
"1","1","0","e","3","space","1335","377222"
"1","1","0","e","3","space","4127","381349"
"1","1","0","e","3","space","7119","388468"
"1","1","0","e","3","space","8143","396611"
"1","1","0","e","3","space","5764","402375"
"1","1","0","e","3","space","6493","408868"
"1","1","0","e","3","n","1674","410542"
"1","1","0","e","3","space","6189","416731"
"1","1","0","e","3","space","2795","419526"
"1","1","0","e","3","space","4940","424466"
"1","1","0","e","3","space","8159","432625"
"1","1","0","e","3","n","1594","434219"
"","","1","c","3","c","7913","444297"
"","","0","d","3","a","19544","463841"
"","","1","c","3","c","10078","473919"
"","","0","e","3","a","5217","479136"
"2","1","0","e","4","space","1385","480521"
"2","1","0","e","4","space","3105","483626"
"2","1","0","e","4","space","1376","485002"
"2","1","0","e","4","space","4191","489193"
"2","1","0","e","4","space","2480","491673"
"2","1","0","e","4","space","3666","495339"
"2","1","0","e","4","space","1970","497309"
"2","1","0","e","4","space","4550","501859"
"2","1","0","e","4","n","1689","503548"
"2","1","0","e","4","space","4200","507748"
"2","1","0","e","4","n","1497","509245"
"2","1","0","e","4","space","2210","511455"
"2","1","0","e","4","space","11096","522551"
"2","1","0","e","4","n","1449","524000"
"2","1","0","e","4","space","1992","525992"
"2","1","0","e","4","n","1753","527745"
"2","1","0","e","4","space","4863","532608"
"2","1","0","e","4","space","11750","544358"
"","","1","b","4","b","4571","550565"
"","","1","a","4","a","3071","553636"
"","","0","a","4","e","8214","561850"
"","","0","d","4","a","10062","571912"
"1","1","0","d","5","space","824","572736"
"1","1","0","d","5","space","6860","579596"
"1","1","0","d","5","space","11030","590626"
"1","1","0","d","5","space","4746","595372"
"1","1","0","d","5","space","6505","601877"
"1","1","0","d","5","y","1417","603294"
"1","1","0","d","5","space","4542","607836"
"1","1","0","d","5","space","4996","612832"
"1","1","0","d","5","n","1386","614218"
"1","1","0","d","5","space","2897","617115"
"1","1","0","d","5","space","10240","627355"
"1","1","0","d","5","space","5199","632554"
"1","1","0","d","5","n","1370","633924"
"","","0","b","5","a","9576","644757"
"","","0","b","5","e","4975","649732"
"","","1","c","5","c","2370","652102"
"","","1","d","5","d","9054","661156"
"2","1","0","d","6","space","855","662011"
"2","1","0","d","6","space","2389","664400"
"2","1","0","d","6","n","1466","665866"
"2","1","0","d","6","space","6846","672712"
"2","1","0","d","6","space","2113","674825"
"2","1","0","d","6","space","4612","679437"
"2","1","0","d","6","space","1441","680878"
"2","1","0","d","6","space","1998","682876"
"2","1","0","d","6","space","3544","686420"
"2","1","0","d","6","n","970","687390"
"2","1","0","d","6","space","2856","690246"
"2","1","0","d","6","space","2100","692346"
"2","1","0","d","6","space","1733","694079"
"2","1","0","d","6","space","1810","695889"
"2","1","0","d","6","space","1763","697652"
"2","1","0","d","6","n","889","698541"
"2","1","0","d","6","space","2149","700690"
"2","1","0","d","6","space","3881","704571"
"2","1","0","d","6","n","856","705427"
"2","1","0","d","6","space","4486","709913"
"","","1","d","6","d","3419","714441"
"","","1","c","6","c","4525","718966"
"","","1","d","6","d","8079","727045"
"","","1","d","6","d","7935","734980"
"1","1","0","d","7","space","975","735955"
"1","1","0","d","7","space","6414","742369"
"1","1","0","d","7","space","4646","747015"
"1","1","0","d","7","space","5770","752785"
"1","1","0","d","7","n","1547","754332"
"1","1","0","d","7","space","4793","759125"
"1","1","0","d","7","space","6021","765146"
"1","1","0","d","7","space","7500","772646"
"1","1","0","d","7","space","5469","778115"
"1","1","0","d","7","space","5310","783425"
"1","1","0","d","7","space","6395","789820"
"1","1","0","d","7","space","4759","794579"
"1","1","0","d","7","n","1498","796077"
"","","1","a","7","a","5451","803021"
"","","0","a","7","d","11704","814725"
"","","1","b","7","b","10782","825507"
"","","1","c","7","c","6845","832352"
"2","1","0","c","8","space","920","833272"
"2","1","0","c","8","space","8065","841337"
"2","1","0","c","8","space","4286","845623"
"2","1","0","c","8","space","3013","848636"
"2","1","0","c","8","space","5998","854634"
"2","1","0","c","8","space","5869","860503"
"2","1","0","c","8","y","1643","862146"
"2","1","0","c","8","space","3940","866086"
"2","1","0","c","8","space","5863","871949"
"2","1","0","c","8","n","1513","873462"
"2","1","0","c","8","space","7678","881140"
"2","1","0","c","8","space","8481","889621"
"2","1","0","c","8","y","1562","891183"
"2","1","0","c","8","space","5342","896525"
"2","1","0","c","8","space","4250","900775"
"","","1","e","8","e","4747","906405"
"","","0","b","8","a","4896","911301"
