"Condition_Num","booklet","correct","correct_response","passage","response","response_time"
"1","1","undefined","NA","1","space","1791"
"1","1","undefined","NA","1","space","9070"
"1","1","undefined","NA","1","space","2230"
"1","1","undefined","NA","1","n","6503"
"1","1","undefined","NA","1","space","20122"
"1","1","undefined","NA","1","y","2295"
"1","1","undefined","NA","1","space","15169"
"1","1","undefined","NA","1","space","4685"
"1","1","undefined","NA","1","space","5026"
"1","1","undefined","NA","1","space","5805"
"1","1","undefined","NA","1","space","3955"
"1","1","undefined","NA","1","space","5139"
"1","1","undefined","NA","1","space","3387"
"1","1","undefined","NA","1","space","2270"
"1","1","undefined","NA","1","space","3068"
"1","1","undefined","NA","1","space","5770"
"1","1","undefined","NA","1","space","2895"
"1","1","undefined","NA","1","space","3357"
"1","1","undefined","NA","1","space","9241"
"1","1","undefined","NA","1","space","2079"
"1","1","undefined","NA","1","space","2615"
"1","1","undefined","NA","1","y","2759"
"1","1","undefined","NA","1","space","4031"
"1","1","undefined","NA","1","space","5007"
"1","1","undefined","NA","1","y","2281"
"1","1","undefined","NA","1","space","9735"
"1","1","undefined","NA","1","y","3512"
"1","1","undefined","NA","1","space","12859"
"1","1","undefined","NA","1","n","2312"
"1","1","undefined","NA","1","space","3324"
"1","1","undefined","NA","1","space","5213"
"1","1","undefined","NA","1","space","6442"
"1","1","undefined","NA","1","space","8306"
"1","1","undefined","NA","1","space","4189"
"1","1","undefined","NA","1","space","6125"
"1","1","undefined","NA","1","space","21810"
"1","1","undefined","NA","1","space","8918"
"1","1","undefined","NA","1","y","3241"
"","","0","b","1","a","7417"
"","","1","a","1","a","4317"
"","","0","e","1","d","5791"
"","","0","c","1","d","11513"
"","","1","b","1","b","16979"
"","","0","e","1","a","7780"
"","","0","b","1","c","32717"
"","","0","a","1","b","14467"
"2","1","0","a","2","space","1016"
"2","1","0","a","2","space","5516"
"2","1","0","a","2","space","5423"
"2","1","0","a","2","space","5021"
"2","1","0","a","2","space","4721"
"2","1","0","a","2","space","2237"
"2","1","0","a","2","space","1781"
"2","1","0","a","2","space","18827"
"2","1","0","a","2","space","21013"
"2","1","0","a","2","n","2505"
"2","1","0","a","2","space","2991"
"2","1","0","a","2","space","3646"
"2","1","0","a","2","space","9310"
"2","1","0","a","2","n","1400"
"2","1","0","a","2","space","12755"
"","","1","c","2","c","6709"
"","","1","d","2","d","16923"
"","","1","d","2","d","5502"
"","","0","e","2","b","11588"
"1","1","0","e","3","space","927"
"1","1","0","e","3","space","4588"
"1","1","0","e","3","space","6852"
"1","1","0","e","3","space","3396"
"1","1","0","e","3","space","6049"
"1","1","0","e","3","space","8568"
"1","1","0","e","3","y","2952"
"1","1","0","e","3","space","10360"
"1","1","0","e","3","space","22417"
"1","1","0","e","3","space","6114"
"1","1","0","e","3","space","4368"
"1","1","0","e","3","y","2135"
"","","0","c","3","a","8968"
"","","0","d","3","c","13079"
"","","0","c","3","b","8334"
"","","0","e","3","a","22103"
"2","1","0","e","4","space","1016"
"2","1","0","e","4","space","5798"
"2","1","0","e","4","space","2478"
"2","1","0","e","4","space","3266"
"2","1","0","e","4","space","3309"
"2","1","0","e","4","space","5292"
"2","1","0","e","4","space","3215"
"2","1","0","e","4","space","12842"
"2","1","0","e","4","y","2536"
"2","1","0","e","4","space","7024"
"2","1","0","e","4","n","1943"
"2","1","0","e","4","space","2224"
"2","1","0","e","4","space","45517"
"2","1","0","e","4","y","1366"
"2","1","0","e","4","space","2018"
"2","1","0","e","4","n","1768"
"2","1","0","e","4","space","3108"
"2","1","0","e","4","space","3493"
