"Condition_Num","booklet","correct","correct_response","passage","response","response_time"
"2","2","undefined","NA","1","space","1647"
"2","2","undefined","NA","1","space","3614"
"2","2","undefined","NA","1","space","12596"
"2","2","undefined","NA","1","n","2250"
"2","2","undefined","NA","1","space","18802"
"2","2","undefined","NA","1","n","1466"
"2","2","undefined","NA","1","space","3893"
"2","2","undefined","NA","1","space","1304"
"2","2","undefined","NA","1","space","2309"
"2","2","undefined","NA","1","space","3653"
"2","2","undefined","NA","1","space","2680"
"2","2","undefined","NA","1","space","2148"
"2","2","undefined","NA","1","space","3332"
"2","2","undefined","NA","1","space","6299"
"2","2","undefined","NA","1","space","2678"
"2","2","undefined","NA","1","space","1937"
"2","2","undefined","NA","1","space","3775"
"2","2","undefined","NA","1","space","1990"
"2","2","undefined","NA","1","space","4261"
"2","2","undefined","NA","1","space","3206"
"2","2","undefined","NA","1","space","2536"
"2","2","undefined","NA","1","space","2001"
"2","2","undefined","NA","1","space","2022"
"2","2","undefined","NA","1","space","4534"
"2","2","undefined","NA","1","space","1351"
"2","2","undefined","NA","1","space","2449"
"2","2","undefined","NA","1","space","4663"
"2","2","undefined","NA","1","y","1466"
"2","2","undefined","NA","1","space","3552"
"2","2","undefined","NA","1","space","7095"
"2","2","undefined","NA","1","y","1690"
"2","2","undefined","NA","1","space","11361"
"2","2","undefined","NA","1","y","1211"
"2","2","undefined","NA","1","space","8022"
"2","2","undefined","NA","1","n","2954"
"2","2","undefined","NA","1","space","3191"
"2","2","undefined","NA","1","space","4933"
"2","2","undefined","NA","1","space","2452"
"2","2","undefined","NA","1","space","3383"
"2","2","undefined","NA","1","space","1845"
"2","2","undefined","NA","1","space","5047"
"2","2","undefined","NA","1","space","2469"
"2","2","undefined","NA","1","space","2596"
"2","2","undefined","NA","1","space","4022"
"2","2","undefined","NA","1","space","3605"
"2","2","undefined","NA","1","space","3455"
"2","2","undefined","NA","1","y","1626"
"","","0","b","1","a","8648"
"","","1","a","1","a","3239"
"","","1","e","1","e","3240"
"","","1","c","1","c","6436"
"","","0","b","1","c","18051"
"","","1","e","1","e","5060"
"","","0","b","1","d","19863"
"","","1","a","1","a","8781"
"1","2","0","a","2","space","871"
"1","2","0","a","2","space","3177"
"1","2","0","a","2","space","1670"
"1","2","0","a","2","space","1797"
"1","2","0","a","2","space","7253"
"1","2","0","a","2","space","3842"
"1","2","0","a","2","space","5650"
"1","2","0","a","2","space","6707"
"1","2","0","a","2","space","6087"
"1","2","0","a","2","y","1307"
"1","2","0","a","2","space","1918"
"1","2","0","a","2","space","3909"
"1","2","0","a","2","space","7900"
"1","2","0","a","2","n","1771"
"1","2","0","a","2","space","3348"
"","","0","c","2","d","5320"
"","","0","d","2","a","8612"
"","","1","d","2","d","3736"
"","","0","e","2","b","4072"
"2","2","0","e","3","space","822"
"2","2","0","e","3","space","1587"
"2","2","0","e","3","space","888"
"2","2","0","e","3","space","7055"
"2","2","0","e","3","space","8911"
"2","2","0","e","3","space","7923"
"2","2","0","e","3","space","1353"
"2","2","0","e","3","space","8049"
"2","2","0","e","3","n","1514"
"2","2","0","e","3","space","4602"
"2","2","0","e","3","space","2261"
"2","2","0","e","3","space","3742"
"2","2","0","e","3","space","9045"
"2","2","0","e","3","n","1818"
"","","1","c","3","c","6410"
"","","1","d","3","d","9119"
"","","1","c","3","c","12900"
"","","1","e","3","e","6264"
"1","2","0","e","4","space","723"
"1","2","0","e","4","space","6207"
"1","2","0","e","4","space","7322"
"1","2","0","e","4","space","1112"
"1","2","0","e","4","space","562"
"1","2","0","e","4","space","1249"
"1","2","0","e","4","space","5142"
"1","2","0","e","4","space","2704"
"1","2","0","e","4","space","8087"
"1","2","0","e","4","y","1689"
"1","2","0","e","4","space","5015"
"1","2","0","e","4","n","1482"
"1","2","0","e","4","space","7677"
"1","2","0","e","4","y","1322"
"1","2","0","e","4","space","2283"
"1","2","0","e","4","n","1465"
"1","2","0","e","4","space","3175"
"1","2","0","e","4","space","10908"
"","","1","b","4","b","2761"
"","","0","a","4","c","5397"
"","","0","a","4","b","8899"
"","","0","d","4","e","9235"
"2","2","0","d","5","space","723"
"2","2","0","d","5","space","10420"
"2","2","0","d","5","space","2276"
"2","2","0","d","5","space","6772"
"2","2","0","d","5","space","1494"
"2","2","0","d","5","space","4201"
"2","2","0","d","5","space","6760"
"2","2","0","d","5","n","1849"
"2","2","0","d","5","space","1797"
"2","2","0","d","5","space","13790"
"2","2","0","d","5","y","3034"
"2","2","0","d","5","space","1737"
"2","2","0","d","5","space","1446"
"2","2","0","d","5","space","3943"
"2","2","0","d","5","space","2308"
"2","2","0","d","5","space","6053"
"2","2","0","d","5","n","1194"
"2","2","0","d","5","space","3205"
"","","0","b","5","a","3237"
"","","0","b","5","e","4278"
"","","1","c","5","c","3274"
"","","1","d","5","d","9380"
"1","2","0","d","6","space","596"
"1","2","0","d","6","space","731"
"1","2","0","d","6","n","1401"
"1","2","0","d","6","space","4307"
"1","2","0","d","6","space","813"
"1","2","0","d","6","space","3284"
"1","2","0","d","6","space","2448"
"1","2","0","d","6","space","6072"
"1","2","0","d","6","space","5533"
"1","2","0","d","6","y","1337"
"1","2","0","d","6","space","3337"
"1","2","0","d","6","space","4004"
"1","2","0","d","6","space","3675"
"1","2","0","d","6","n","1365"
"1","2","0","d","6","space","6100"
"1","2","0","d","6","space","2998"
"1","2","0","d","6","y","1370"
"1","2","0","d","6","space","2339"
"","","0","d","6","a","8169"
"","","1","c","6","c","3832"
"","","1","d","6","d","3445"
"","","0","d","6","e","4726"
"2","2","0","d","7","space","661"
"2","2","0","d","7","space","3793"
"2","2","0","d","7","space","1488"
"2","2","0","d","7","space","2072"
"2","2","0","d","7","space","4709"
"2","2","0","d","7","n","1338"
"2","2","0","d","7","space","982"
"2","2","0","d","7","space","1511"
"2","2","0","d","7","space","1608"
"2","2","0","d","7","space","3634"
"2","2","0","d","7","space","2951"
"2","2","0","d","7","space","695"
"2","2","0","d","7","space","5314"
"2","2","0","d","7","space","3650"
"2","2","0","d","7","space","1074"
"2","2","0","d","7","space","2836"
"2","2","0","d","7","space","8375"
"2","2","0","d","7","space","5877"
"2","2","0","d","7","y","1367"
"","","1","a","7","a","2761"
"","","1","a","7","a","3463"
"","","1","b","7","b","8317"
"","","1","c","7","c","6085"
"1","2","0","c","8","space","759"
"1","2","0","c","8","space","3920"
"1","2","0","c","8","space","6419"
"1","2","0","c","8","space","8211"
"1","2","0","c","8","space","7194"
"1","2","0","c","8","y","1881"
"1","2","0","c","8","space","5339"
"1","2","0","c","8","space","2742"
"1","2","0","c","8","n","1736"
"1","2","0","c","8","space","6267"
"1","2","0","c","8","space","6343"
"1","2","0","c","8","y","1081"
"1","2","0","c","8","space","1125"
"1","2","0","c","8","space","6945"
"","","1","e","8","e","4025"
"","","1","b","8","b","4999"
"","","1","a","8","a","4934"
"","","1","e","8","e","5891"
