"Condition_Num","booklet","correct","correct_response","passage","response","response_time"
"1","1","undefined","NA","1","space","912"
"1","1","undefined","NA","1","space","5998"
"1","1","undefined","NA","1","space","9753"
"1","1","undefined","NA","1","n","2954"
"1","1","undefined","NA","1","space","16557"
"1","1","undefined","NA","1","y","1626"
"1","1","undefined","NA","1","space","6912"
"1","1","undefined","NA","1","space","4101"
"1","1","undefined","NA","1","space","4821"
"1","1","undefined","NA","1","space","8946"
"1","1","undefined","NA","1","space","2723"
"1","1","undefined","NA","1","space","4403"
"1","1","undefined","NA","1","space","3427"
"1","1","undefined","NA","1","space","8025"
"1","1","undefined","NA","1","space","4388"
"1","1","undefined","NA","1","space","7601"
"1","1","undefined","NA","1","space","2609"
"1","1","undefined","NA","1","space","3877"
"1","1","undefined","NA","1","space","6391"
"1","1","undefined","NA","1","space","11218"
"1","1","undefined","NA","1","space","5462"
"1","1","undefined","NA","1","n","2441"
"1","1","undefined","NA","1","space","3184"
"1","1","undefined","NA","1","space","9733"
"1","1","undefined","NA","1","n","1659"
"1","1","undefined","NA","1","space","6053"
"1","1","undefined","NA","1","n","1595"
"1","1","undefined","NA","1","space","7533"
"1","1","undefined","NA","1","n","2075"
"1","1","undefined","NA","1","space","5093"
"1","1","undefined","NA","1","space","4516"
"1","1","undefined","NA","1","space","8369"
"1","1","undefined","NA","1","space","6898"
"1","1","undefined","NA","1","space","5781"
"1","1","undefined","NA","1","space","3797"
"1","1","undefined","NA","1","space","14491"
"1","1","undefined","NA","1","space","5205"
"1","1","undefined","NA","1","y","2586"
"","","0","b","1","a","11815"
"","","0","a","1","b","9341"
"","","0","e","1","a","15002"
"","","1","c","1","c","8229"
"","","0","b","1","a","20229"
"","","0","e","1","c","17058"
"","","1","b","1","b","17478"
"","","0","a","1","c","23973"
"2","1","0","a","2","space","1182"
"2","1","0","a","2","space","3869"
"2","1","0","a","2","space","4440"
"2","1","0","a","2","space","8916"
"2","1","0","a","2","space","4291"
"2","1","0","a","2","space","2680"
"2","1","0","a","2","space","1788"
"2","1","0","a","2","space","7281"
"2","1","0","a","2","space","5522"
"2","1","0","a","2","y","2425"
"2","1","0","a","2","space","3144"
"2","1","0","a","2","space","3063"
"2","1","0","a","2","space","5988"
"2","1","0","a","2","y","2198"
"2","1","0","a","2","space","7365"
"","","1","c","2","c","7943"
"","","1","d","2","d","12211"
"","","1","d","2","d","4408"
"","","1","e","2","e","8500"
"1","1","0","e","3","space","1125"
"1","1","0","e","3","space","3268"
"1","1","0","e","3","space","7460"
"1","1","0","e","3","space","4012"
"1","1","0","e","3","space","4658"
"1","1","0","e","3","space","6693"
"1","1","0","e","3","y","1418"
"1","1","0","e","3","space","12726"
"1","1","0","e","3","space","5281"
"1","1","0","e","3","space","4465"
"1","1","0","e","3","space","8216"
"1","1","0","e","3","n","1626"
"","","0","c","3","a","9294"
"","","0","d","3","e","21649"
"","","1","c","3","c","10837"
"","","0","e","3","a","11639"
"2","1","0","e","4","space","1462"
"2","1","0","e","4","space","2132"
"2","1","0","e","4","space","1633"
"2","1","0","e","4","space","3388"
"2","1","0","e","4","space","2405"
"2","1","0","e","4","space","2833"
"2","1","0","e","4","space","2422"
"2","1","0","e","4","space","4022"
"2","1","0","e","4","n","1961"
"2","1","0","e","4","space","4615"
"2","1","0","e","4","n","1451"
"2","1","0","e","4","space","1735"
"2","1","0","e","4","space","6277"
"2","1","0","e","4","n","1302"
"2","1","0","e","4","space","2222"
"2","1","0","e","4","n","2074"
"2","1","0","e","4","space","4819"
"2","1","0","e","4","space","9803"
"","","1","b","4","b","8168"
"","","0","a","4","c","10277"
"","","0","a","4","e","18162"
"","","1","d","4","d","23179"
"1","1","0","d","5","space","1657"
"1","1","0","d","5","space","2933"
"1","1","0","d","5","space","11988"
"1","1","0","d","5","space","4001"
"1","1","0","d","5","space","6801"
"1","1","0","d","5","n","1674"
"1","1","0","d","5","space","4250"
"1","1","0","d","5","space","7289"
"1","1","0","d","5","n","1418"
"1","1","0","d","5","space","2180"
"1","1","0","d","5","space","10005"
"1","1","0","d","5","space","4909"
"1","1","0","d","5","y","1354"
"","","1","b","5","b","5332"
"","","0","b","5","e","5270"
"","","0","c","5","d","5021"
"","","0","d","5","b","20955"
"2","1","0","d","6","space","1542"
"2","1","0","d","6","space","1561"
"2","1","0","d","6","n","1610"
"2","1","0","d","6","space","3443"
"2","1","0","d","6","space","1111"
"2","1","0","d","6","space","3776"
"2","1","0","d","6","space","1636"
"2","1","0","d","6","space","2209"
"2","1","0","d","6","space","4197"
"2","1","0","d","6","n","1290"
"2","1","0","d","6","space","1557"
"2","1","0","d","6","space","1327"
"2","1","0","d","6","space","2054"
"2","1","0","d","6","space","1526"
"2","1","0","d","6","space","1718"
"2","1","0","d","6","n","1595"
"2","1","0","d","6","space","2181"
"2","1","0","d","6","space","2178"
"2","1","0","d","6","n","1254"
"2","1","0","d","6","space","3235"
"","","1","d","6","d","17594"
"","","1","c","6","c","5567"
"","","0","d","6","b","10372"
"","","0","d","6","e","5942"
"1","1","0","d","7","space","947"
"1","1","0","d","7","space","6803"
"1","1","0","d","7","space","5058"
"1","1","0","d","7","space","5463"
"1","1","0","d","7","y","1897"
"1","1","0","d","7","space","6994"
"1","1","0","d","7","space","6745"
"1","1","0","d","7","space","4848"
"1","1","0","d","7","space","4079"
"1","1","0","d","7","space","5635"
"1","1","0","d","7","space","7264"
"1","1","0","d","7","space","4006"
"1","1","0","d","7","y","1834"
"","","0","a","7","b","5816"
"","","0","a","7","b","8953"
"","","0","b","7","d","7860"
"","","1","c","7","c","7876"
"2","1","0","c","8","space","1798"
"2","1","0","c","8","space","2585"
"2","1","0","c","8","space","3286"
"2","1","0","c","8","space","2512"
"2","1","0","c","8","space","3493"
"2","1","0","c","8","space","5396"
"2","1","0","c","8","y","1595"
"2","1","0","c","8","space","4721"
"2","1","0","c","8","space","3640"
"2","1","0","c","8","y","1514"
"2","1","0","c","8","space","4949"
"2","1","0","c","8","space","4142"
"2","1","0","c","8","y","1402"
"2","1","0","c","8","space","4724"
"2","1","0","c","8","space","5476"
"","","1","e","8","e","5192"
"","","0","b","8","a","6981"
"","","0","a","8","b","16500"
"","","1","e","8","e","8132"
