"Condition_Num","booklet","correct","correct_response","passage","response","response_time"
"1","1","undefined","NA","1","space","1194"
"1","1","undefined","NA","1","space","6959"
"1","1","undefined","NA","1","space","12878"
"1","1","undefined","NA","1","n","2569"
"1","1","undefined","NA","1","space","17151"
"1","1","undefined","NA","1","n","2169"
"1","1","undefined","NA","1","space","13467"
"1","1","undefined","NA","1","space","5206"
"1","1","undefined","NA","1","space","5982"
"1","1","undefined","NA","1","space","8033"
"1","1","undefined","NA","1","space","2612"
"1","1","undefined","NA","1","space","6543"
"1","1","undefined","NA","1","space","2768"
"1","1","undefined","NA","1","space","3363"
"1","1","undefined","NA","1","space","8785"
"1","1","undefined","NA","1","space","5067"
"1","1","undefined","NA","1","space","3347"
"1","1","undefined","NA","1","space","1811"
"1","1","undefined","NA","1","space","7094"
"1","1","undefined","NA","1","space","1698"
"1","1","undefined","NA","1","space","7414"
"1","1","undefined","NA","1","n","2762"
"1","1","undefined","NA","1","space","3955"
"1","1","undefined","NA","1","space","12628"
"1","1","undefined","NA","1","n","1465"
"1","1","undefined","NA","1","space","16100"
"1","1","undefined","NA","1","y","1835"
"1","1","undefined","NA","1","space","6549"
"1","1","undefined","NA","1","n","1765"
"1","1","undefined","NA","1","space","5159"
"1","1","undefined","NA","1","space","2672"
"1","1","undefined","NA","1","space","6562"
"1","1","undefined","NA","1","space","5744"
"1","1","undefined","NA","1","space","6289"
"1","1","undefined","NA","1","space","2496"
"1","1","undefined","NA","1","space","17466"
"1","1","undefined","NA","1","space","4167"
"1","1","undefined","NA","1","n","1449"
"","","1","b","1","b","3880"
"","","1","a","1","a","3794"
"","","1","e","1","e","6180"
"","","1","c","1","c","13166"
"","","0","b","1","c","9071"
"","","1","e","1","e","13919"
"","","1","b","1","b","20240"
"","","1","a","1","a","16127"
"2","1","0","a","2","space","1782"
"2","1","0","a","2","space","11489"
"2","1","0","a","2","space","3056"
"2","1","0","a","2","space","2848"
"2","1","0","a","2","space","2654"
"2","1","0","a","2","space","1426"
"2","1","0","a","2","space","1412"
"2","1","0","a","2","space","3814"
"2","1","0","a","2","space","2034"
"2","1","0","a","2","n","1737"
"2","1","0","a","2","space","2293"
"2","1","0","a","2","space","3730"
"2","1","0","a","2","space","2570"
"2","1","0","a","2","n","1417"
"2","1","0","a","2","space","5185"
"","","1","c","2","c","4299"
"","","0","d","2","a","21953"
"","","1","d","2","d","7697"
"","","1","e","2","e","10281"
"1","1","0","e","3","space","859"
"1","1","0","e","3","space","6208"
"1","1","0","e","3","space","17281"
"1","1","0","e","3","space","6920"
"1","1","0","e","3","space","4879"
"1","1","0","e","3","space","8255"
"1","1","0","e","3","y","2138"
"1","1","0","e","3","space","3853"
"1","1","0","e","3","space","2966"
"1","1","0","e","3","space","4213"
"1","1","0","e","3","space","6304"
"1","1","0","e","3","n","1690"
"","","1","c","3","c","4956"
"","","0","d","3","a","12561"
"","","0","c","3","b","9970"
"","","1","e","3","e","6737"
"2","1","0","e","4","space","875"
"2","1","0","e","4","space","1959"
"2","1","0","e","4","space","1011"
"2","1","0","e","4","space","3743"
"2","1","0","e","4","space","1538"
"2","1","0","e","4","space","2107"
"2","1","0","e","4","space","1204"
"2","1","0","e","4","space","4698"
"2","1","0","e","4","n","1626"
"2","1","0","e","4","space","9042"
"2","1","0","e","4","n","1227"
"2","1","0","e","4","space","4003"
"2","1","0","e","4","space","3662"
"2","1","0","e","4","n","1257"
"2","1","0","e","4","space","1974"
"2","1","0","e","4","n","1290"
"2","1","0","e","4","space","3197"
"2","1","0","e","4","space","7208"
"","","1","b","4","b","3644"
"","","1","a","4","a","2334"
"","","1","a","4","a","6684"
"","","1","d","4","d","15205"
"1","1","0","d","5","space","846"
"1","1","0","d","5","space","4704"
"1","1","0","d","5","space","7034"
"1","1","0","d","5","space","2655"
"1","1","0","d","5","space","3363"
"1","1","0","d","5","n","1770"
"1","1","0","d","5","space","3969"
"1","1","0","d","5","space","7065"
"1","1","0","d","5","n","1338"
"1","1","0","d","5","space","2434"
"1","1","0","d","5","space","7690"
"1","1","0","d","5","space","6728"
"1","1","0","d","5","n","1706"
"","","0","b","5","a","6185"
"","","0","b","5","e","4431"
"","","1","c","5","c","5699"
"","","1","d","5","d","13166"
"2","1","0","d","6","space","781"
"2","1","0","d","6","space","1468"
"2","1","0","d","6","n","1481"
"2","1","0","d","6","space","5646"
"2","1","0","d","6","space","1170"
"2","1","0","d","6","space","3093"
"2","1","0","d","6","space","1763"
"2","1","0","d","6","space","1888"
"2","1","0","d","6","space","5475"
"2","1","0","d","6","n","1354"
"2","1","0","d","6","space","1187"
"2","1","0","d","6","space","3234"
"2","1","0","d","6","space","1411"
"2","1","0","d","6","space","1314"
"2","1","0","d","6","space","4324"
"2","1","0","d","6","n","1929"
"2","1","0","d","6","space","2224"
"2","1","0","d","6","space","1619"
"2","1","0","d","6","n","1770"
"2","1","0","d","6","space","1744"
"","","1","d","6","d","4572"
"","","1","c","6","c","5313"
"","","1","d","6","d","5408"
"","","1","d","6","d","14639"
"1","1","0","d","7","space","747"
"1","1","0","d","7","space","6043"
"1","1","0","d","7","space","3455"
"1","1","0","d","7","space","3281"
"1","1","0","d","7","n","1525"
"1","1","0","d","7","space","5316"
"1","1","0","d","7","space","4059"
"1","1","0","d","7","space","7371"
"1","1","0","d","7","space","3198"
"1","1","0","d","7","space","3934"
"1","1","0","d","7","space","4633"
"1","1","0","d","7","space","2464"
"1","1","0","d","7","n","1530"
"","","1","a","7","a","7628"
"","","0","a","7","b","4802"
"","","1","b","7","b","17647"
"","","0","c","7","e","13175"
"2","1","0","c","8","space","699"
"2","1","0","c","8","space","4912"
"2","1","0","c","8","space","1925"
"2","1","0","c","8","space","2385"
"2","1","0","c","8","space","2327"
"2","1","0","c","8","space","8441"
"2","1","0","c","8","n","1466"
"2","1","0","c","8","space","11536"
"2","1","0","c","8","space","2873"
"2","1","0","c","8","n","1514"
"2","1","0","c","8","space","8511"
"2","1","0","c","8","space","4112"
"2","1","0","c","8","n","1417"
"2","1","0","c","8","space","6576"
"2","1","0","c","8","space","3483"
"","","1","e","8","e","4875"
"","","1","b","8","b","13744"
"","","1","a","8","a","12319"
"","","0","e","8","c","7685"
