"Condition_Num","booklet","correct","correct_response","passage","response","response_time"
"2","2","undefined","NA","1","space","849"
"2","2","undefined","NA","1","space","4400"
"2","2","undefined","NA","1","space","13551"
"2","2","undefined","NA","1","n","18555"
"2","2","undefined","NA","1","space","29418"
"2","2","undefined","NA","1","n","3865"
"2","2","undefined","NA","1","space","4932"
"2","2","undefined","NA","1","space","1227"
"2","2","undefined","NA","1","space","4548"
"2","2","undefined","NA","1","space","3973"
"2","2","undefined","NA","1","space","3221"
"2","2","undefined","NA","1","space","5012"
"2","2","undefined","NA","1","space","2723"
"2","2","undefined","NA","1","space","4551"
"2","2","undefined","NA","1","space","3477"
"2","2","undefined","NA","1","space","2934"
"2","2","undefined","NA","1","space","3242"
"2","2","undefined","NA","1","space","3079"
"2","2","undefined","NA","1","space","3237"
"2","2","undefined","NA","1","space","2132"
"2","2","undefined","NA","1","space","3075"
"2","2","undefined","NA","1","space","3383"
"2","2","undefined","NA","1","space","2308"
"2","2","undefined","NA","1","space","2116"
"2","2","undefined","NA","1","space","2639"
"2","2","undefined","NA","1","space","1718"
"2","2","undefined","NA","1","space","3286"
"2","2","undefined","NA","1","n","2331"
"2","2","undefined","NA","1","space","2711"
"2","2","undefined","NA","1","space","5075"
"2","2","undefined","NA","1","n","2091"
"2","2","undefined","NA","1","space","7335"
"2","2","undefined","NA","1","n","1770"
"2","2","undefined","NA","1","space","8139"
"2","2","undefined","NA","1","n","1355"
"2","2","undefined","NA","1","space","8215"
"2","2","undefined","NA","1","space","5722"
"2","2","undefined","NA","1","space","5941"
"2","2","undefined","NA","1","space","6422"
"2","2","undefined","NA","1","space","2567"
"2","2","undefined","NA","1","space","3396"
"2","2","undefined","NA","1","space","2212"
"2","2","undefined","NA","1","space","2274"
"2","2","undefined","NA","1","space","2363"
"2","2","undefined","NA","1","space","2756"
"2","2","undefined","NA","1","space","3715"
"2","2","undefined","NA","1","y","2138"
"","","1","b","1","b","5337"
"","","1","a","1","a","2430"
"","","1","e","1","e","7799"
"","","1","c","1","c","11554"
"","","1","b","1","b","4730"
"","","0","e","1","a","2742"
"","","1","b","1","b","13764"
"","","1","a","1","a","10782"
"1","2","0","a","2","space","1029"
"1","2","0","a","2","space","5118"
"1","2","0","a","2","space","2374"
"1","2","0","a","2","space","5959"
"1","2","0","a","2","space","9445"
"1","2","0","a","2","space","3641"
"1","2","0","a","2","space","3315"
"1","2","0","a","2","space","5839"
"1","2","0","a","2","space","1987"
"1","2","0","a","2","y","1834"
"1","2","0","a","2","space","1892"
"1","2","0","a","2","space","3318"
"1","2","0","a","2","space","12725"
"1","2","0","a","2","n","1915"
"1","2","0","a","2","space","3397"
"","","1","c","2","c","3204"
"","","1","d","2","d","8518"
"","","1","d","2","d","3239"
"","","0","e","2","b","6020"
"2","2","0","e","3","space","1060"
"2","2","0","e","3","space","2611"
"2","2","0","e","3","space","1078"
"2","2","0","e","3","space","5507"
"2","2","0","e","3","space","5922"
"2","2","0","e","3","space","2258"
"2","2","0","e","3","space","833"
"2","2","0","e","3","space","8900"
"2","2","0","e","3","y","1817"
"2","2","0","e","3","space","3317"
"2","2","0","e","3","space","1363"
"2","2","0","e","3","space","2001"
"2","2","0","e","3","space","2644"
"2","2","0","e","3","y","1531"
"","","0","c","3","e","5672"
"","","0","d","3","c","8191"
"","","1","c","3","c","5503"
"","","0","e","3","a","8583"
"1","2","0","e","4","space","1272"
"1","2","0","e","4","space","5060"
"1","2","0","e","4","space","4607"
"1","2","0","e","4","space","1443"
"1","2","0","e","4","space","1122"
"1","2","0","e","4","space","2134"
"1","2","0","e","4","space","2784"
"1","2","0","e","4","space","1282"
"1","2","0","e","4","space","5168"
"1","2","0","e","4","n","1595"
"1","2","0","e","4","space","3862"
"1","2","0","e","4","n","1434"
"1","2","0","e","4","space","2938"
"1","2","0","e","4","n","3770"
"1","2","0","e","4","space","1366"
"1","2","0","e","4","n","1366"
"1","2","0","e","4","space","7019"
"1","2","0","e","4","space","4681"
"","","0","b","4","a","6329"
"","","0","a","4","b","4198"
"","","1","a","4","a","5923"
"","","0","d","4","a","6591"
"2","2","0","d","5","space","724"
"2","2","0","d","5","space","7089"
"2","2","0","d","5","space","8674"
"2","2","0","d","5","space","6818"
"2","2","0","d","5","space","1631"
"2","2","0","d","5","space","3124"
"2","2","0","d","5","space","2605"
"2","2","0","d","5","n","2570"
"2","2","0","d","5","space","1817"
"2","2","0","d","5","space","6217"
"2","2","0","d","5","n","1353"
"2","2","0","d","5","space","2232"
"2","2","0","d","5","space","1187"
"2","2","0","d","5","space","3509"
"2","2","0","d","5","space","1778"
"2","2","0","d","5","space","3044"
"2","2","0","d","5","y","1834"
"2","2","0","d","5","space","1348"
"","","0","b","5","a","4563"
"","","0","b","5","d","6597"
"","","0","c","5","a","2038"
"","","1","d","5","d","4322"
"1","2","0","d","6","space","837"
"1","2","0","d","6","space","2145"
"1","2","0","d","6","n","1446"
"1","2","0","d","6","space","9027"
"1","2","0","d","6","space","1078"
"1","2","0","d","6","space","6065"
"1","2","0","d","6","space","1966"
"1","2","0","d","6","space","2163"
"1","2","0","d","6","space","3134"
"1","2","0","d","6","n","2922"
"1","2","0","d","6","space","2357"
"1","2","0","d","6","space","1780"
"1","2","0","d","6","space","1736"
"1","2","0","d","6","n","2298"
"1","2","0","d","6","space","1316"
"1","2","0","d","6","space","1349"
"1","2","0","d","6","n","1979"
"1","2","0","d","6","space","2339"
"","","1","d","6","d","2649"
"","","1","c","6","c","3571"
"","","1","d","6","d","2566"
"","","0","d","6","e","6884"
"2","2","0","d","7","space","885"
"2","2","0","d","7","space","5103"
"2","2","0","d","7","space","1269"
"2","2","0","d","7","space","1557"
"2","2","0","d","7","space","3173"
"2","2","0","d","7","n","2171"
"2","2","0","d","7","space","1142"
"2","2","0","d","7","space","3237"
"2","2","0","d","7","space","2006"
"2","2","0","d","7","space","4185"
"2","2","0","d","7","space","1300"
"2","2","0","d","7","space","709"
"2","2","0","d","7","space","3038"
"2","2","0","d","7","space","1826"
"2","2","0","d","7","space","594"
"2","2","0","d","7","space","2195"
"2","2","0","d","7","space","4871"
"2","2","0","d","7","space","1273"
"2","2","0","d","7","y","1769"
"","","0","a","7","c","2888"
"","","0","a","7","b","3325"
"","","0","b","7","e","8806"
"","","0","c","7","a","8226"
"1","2","0","c","8","space","725"
"1","2","0","c","8","space","5060"
"1","2","0","c","8","space","3539"
"1","2","0","c","8","space","3332"
"1","2","0","c","8","space","4346"
"1","2","0","c","8","y","1609"
"1","2","0","c","8","space","3792"
"1","2","0","c","8","space","1732"
"1","2","0","c","8","y","1354"
"1","2","0","c","8","space","3232"
"1","2","0","c","8","space","3845"
"1","2","0","c","8","y","1177"
"1","2","0","c","8","space","1173"
"1","2","0","c","8","space","2676"
"","","1","e","8","e","4401"
"","","0","b","8","a","8342"
"","","1","a","8","a","8124"
"","","1","e","8","e","6131"
