"Condition_Num","booklet","correct","correct_response","passage","response","response_time","total_response_time"
"1","1","undefined","NA","1","space","657","74240"
"1","1","undefined","NA","1","space","11085","85325"
"1","1","undefined","NA","1","space","20074","105399"
"1","1","undefined","NA","1","y","8763","114162"
"1","1","undefined","NA","1","space","22372","136534"
"1","1","undefined","NA","1","n","3241","139775"
"1","1","undefined","NA","1","space","9986","149761"
"1","1","undefined","NA","1","space","5227","154988"
"1","1","undefined","NA","1","space","6791","161779"
"1","1","undefined","NA","1","space","7589","169368"
"1","1","undefined","NA","1","space","3236","172604"
"1","1","undefined","NA","1","space","4137","176741"
"1","1","undefined","NA","1","space","3493","180234"
"1","1","undefined","NA","1","space","3730","183964"
"1","1","undefined","NA","1","space","5046","189010"
"1","1","undefined","NA","1","space","10011","199021"
"1","1","undefined","NA","1","space","3032","202053"
"1","1","undefined","NA","1","space","2385","204438"
"1","1","undefined","NA","1","space","5921","210359"
"1","1","undefined","NA","1","space","2706","213065"
"1","1","undefined","NA","1","space","5719","218784"
"1","1","undefined","NA","1","y","3547","222331"
"1","1","undefined","NA","1","space","4853","227184"
"1","1","undefined","NA","1","space","4296","231480"
"1","1","undefined","NA","1","y","2202","233682"
"1","1","undefined","NA","1","space","4970","238652"
"1","1","undefined","NA","1","y","4713","243365"
"1","1","undefined","NA","1","space","6325","249690"
"1","1","undefined","NA","1","y","2970","252660"
"1","1","undefined","NA","1","space","10390","263050"
"1","1","undefined","NA","1","space","5254","268304"
"1","1","undefined","NA","1","space","8067","276371"
"1","1","undefined","NA","1","space","5222","281593"
"1","1","undefined","NA","1","space","3207","284800"
"1","1","undefined","NA","1","space","6148","290948"
"1","1","undefined","NA","1","space","13853","304801"
"1","1","undefined","NA","1","space","8905","313706"
"1","1","undefined","NA","1","n","1738","315444"
"","","1","b","1","b","11083","333436"
"","","1","a","1","a","10034","343470"
"","","1","e","1","e","4778","348248"
"","","1","c","1","c","7669","355917"
"","","1","b","1","b","8166","364083"
"","","0","e","1","a","8925","373008"
"","","0","b","1","e","19444","392452"
"","","1","a","1","a","11478","403930"
"2","1","0","a","2","space","1301","405231"
"2","1","0","a","2","space","4972","410203"
"2","1","0","a","2","space","6563","416766"
"2","1","0","a","2","space","5824","422590"
"2","1","0","a","2","space","6829","429419"
"2","1","0","a","2","space","1511","430930"
"2","1","0","a","2","space","2240","433170"
