"Condition_Num","booklet","correct","correct_response","passage","response","response_time"
"2","2","undefined","NA","1","space","1216"
"2","2","undefined","NA","1","space","5804"
"2","2","undefined","NA","1","space","14025"
"2","2","undefined","NA","1","n","3066"
"2","2","undefined","NA","1","space","17056"
"2","2","undefined","NA","1","y","3512"
"2","2","undefined","NA","1","space","3161"
"2","2","undefined","NA","1","space","2851"
"2","2","undefined","NA","1","space","6401"
"2","2","undefined","NA","1","space","6033"
"2","2","undefined","NA","1","space","4724"
"2","2","undefined","NA","1","space","2851"
"2","2","undefined","NA","1","space","5032"
"2","2","undefined","NA","1","space","9665"
"2","2","undefined","NA","1","space","8003"
"2","2","undefined","NA","1","space","2597"
"2","2","undefined","NA","1","space","3570"
"2","2","undefined","NA","1","space","3765"
"2","2","undefined","NA","1","space","5042"
"2","2","undefined","NA","1","space","1378"
"2","2","undefined","NA","1","space","1314"
"2","2","undefined","NA","1","space","2821"
"2","2","undefined","NA","1","space","2019"
"2","2","undefined","NA","1","space","2624"
"2","2","undefined","NA","1","space","3318"
"2","2","undefined","NA","1","space","1859"
"2","2","undefined","NA","1","space","2230"
"2","2","undefined","NA","1","n","4106"
"2","2","undefined","NA","1","space","2996"
"2","2","undefined","NA","1","space","4857"
"2","2","undefined","NA","1","y","1925"
"2","2","undefined","NA","1","space","5414"
"2","2","undefined","NA","1","y","1323"
"2","2","undefined","NA","1","space","7882"
"2","2","undefined","NA","1","n","1305"
"2","2","undefined","NA","1","space","1488"
"2","2","undefined","NA","1","space","1442"
"2","2","undefined","NA","1","space","1365"
"2","2","undefined","NA","1","space","2936"
"2","2","undefined","NA","1","space","2100"
"2","2","undefined","NA","1","space","2915"
"2","2","undefined","NA","1","space","4834"
"2","2","undefined","NA","1","space","3266"
"2","2","undefined","NA","1","space","5537"
"2","2","undefined","NA","1","space","6833"
"2","2","undefined","NA","1","space","5170"
"2","2","undefined","NA","1","n","2154"
"","","1","b","1","b","3467"
"","","1","a","1","a","4722"
"","","0","e","1","c","9748"
"","","1","c","1","c","4225"
"","","1","b","1","b","6624"
"","","0","e","1","c","9041"
"","","0","b","1","c","14208"
"","","1","a","1","a","9120"
"1","2","0","a","2","space","1773"
"1","2","0","a","2","space","6204"
"1","2","0","a","2","space","1729"
"1","2","0","a","2","space","1938"
"1","2","0","a","2","space","2290"
"1","2","0","a","2","space","3095"
"1","2","0","a","2","space","4658"
"1","2","0","a","2","space","6911"
"1","2","0","a","2","space","7429"
"1","2","0","a","2","y","2183"
"1","2","0","a","2","space","1302"
"1","2","0","a","2","space","7330"
"1","2","0","a","2","space","13558"
"1","2","0","a","2","y","4458"
"1","2","0","a","2","space","4908"
"","","0","c","2","e","10651"
"","","0","d","2","c","10845"
"","","1","d","2","d","3779"
"","","0","e","2","b","6135"
"2","2","0","e","3","space","1001"
"2","2","0","e","3","space","2544"
"2","2","0","e","3","space","1154"
"2","2","0","e","3","space","2034"
"2","2","0","e","3","space","3617"
"2","2","0","e","3","space","3350"
"2","2","0","e","3","space","3733"
"2","2","0","e","3","space","5856"
"2","2","0","e","3","y","1771"
"2","2","0","e","3","space","5403"
"2","2","0","e","3","space","2419"
"2","2","0","e","3","space","4115"
"2","2","0","e","3","space","12674"
"2","2","0","e","3","n","1977"
"","","1","c","3","c","3195"
"","","0","d","3","c","13500"
"","","0","c","3","e","9563"
"","","1","e","3","e","6035"
"1","2","0","e","4","space","1242"
"1","2","0","e","4","space","7694"
"1","2","0","e","4","space","5085"
"1","2","0","e","4","space","771"
"1","2","0","e","4","space","692"
"1","2","0","e","4","space","916"
"1","2","0","e","4","space","2835"
"1","2","0","e","4","space","2112"
