"Condition_Num","booklet","correct","correct_response","passage","response","response_time"
"2","2","undefined","NA","1","space","1664"
"2","2","undefined","NA","1","space","4020"
"2","2","undefined","NA","1","space","23677"
"2","2","undefined","NA","1","y","3066"
"2","2","undefined","NA","1","space","45469"
"2","2","undefined","NA","1","n","2042"
"2","2","undefined","NA","1","space","4932"
"2","2","undefined","NA","1","space","2582"
"2","2","undefined","NA","1","space","5829"
"2","2","undefined","NA","1","space","4310"
"2","2","undefined","NA","1","space","2680"
"2","2","undefined","NA","1","space","3585"
"2","2","undefined","NA","1","space","3766"
"2","2","undefined","NA","1","space","4530"
"2","2","undefined","NA","1","space","6900"
"2","2","undefined","NA","1","space","3360"
"2","2","undefined","NA","1","space","3063"
"2","2","undefined","NA","1","space","3279"
"2","2","undefined","NA","1","space","5316"
"2","2","undefined","NA","1","space","2878"
"2","2","undefined","NA","1","space","2628"
"2","2","undefined","NA","1","space","2552"
"2","2","undefined","NA","1","space","3791"
"2","2","undefined","NA","1","space","2543"
"2","2","undefined","NA","1","space","2376"
"2","2","undefined","NA","1","space","3511"
"2","2","undefined","NA","1","space","4821"
"2","2","undefined","NA","1","n","3738"
"2","2","undefined","NA","1","space","3297"
"2","2","undefined","NA","1","space","8053"
"2","2","undefined","NA","1","y","2730"
"2","2","undefined","NA","1","space","9624"
"2","2","undefined","NA","1","n","2954"
"2","2","undefined","NA","1","space","13236"
"2","2","undefined","NA","1","n","1403"
"2","2","undefined","NA","1","space","1911"
"2","2","undefined","NA","1","space","9339"
"2","2","undefined","NA","1","space","3023"
"2","2","undefined","NA","1","space","2309"
"2","2","undefined","NA","1","space","2786"
"2","2","undefined","NA","1","space","4094"
"2","2","undefined","NA","1","space","3387"
"2","2","undefined","NA","1","space","2931"
"2","2","undefined","NA","1","space","6165"
"2","2","undefined","NA","1","space","4882"
"2","2","undefined","NA","1","space","5773"
"2","2","undefined","NA","1","n","1562"
"","","0","b","1","a","10442"
"","","1","a","1","a","5247"
"","","1","e","1","e","12009"
"","","1","c","1","c","16694"
"","","1","b","1","b","12222"
"","","0","e","1","c","8226"
"","","1","b","1","b","23422"
"","","1","a","1","a","13525"
"1","2","0","a","2","space","1103"
"1","2","0","a","2","space","8288"
"1","2","0","a","2","space","4005"
"1","2","0","a","2","space","3121"
"1","2","0","a","2","space","6772"
"1","2","0","a","2","space","6786"
"1","2","0","a","2","space","7660"
"1","2","0","a","2","space","8336"
"1","2","0","a","2","space","4805"
"1","2","0","a","2","y","2233"
"1","2","0","a","2","space","2200"
"1","2","0","a","2","space","2944"
"1","2","0","a","2","space","3525"
"1","2","0","a","2","y","1545"
"1","2","0","a","2","space","9797"
"","","0","c","2","b","8839"
"","","0","d","2","a","17285"
"","","1","d","2","d","7304"
"","","1","e","2","e","8678"
"2","2","0","e","3","space","600"
"2","2","0","e","3","space","3364"
"2","2","0","e","3","space","3099"
"2","2","0","e","3","space","4326"
"2","2","0","e","3","space","10557"
"2","2","0","e","3","space","7107"
"2","2","0","e","3","space","1720"
"2","2","0","e","3","space","9155"
"2","2","0","e","3","n","1499"
"2","2","0","e","3","space","6290"
"2","2","0","e","3","space","5044"
"2","2","0","e","3","space","5735"
"2","2","0","e","3","space","9973"
"2","2","0","e","3","y","2458"
"","","1","c","3","c","11173"
"","","0","d","3","a","13520"
"","","0","c","3","d","10487"
"","","0","e","3","a","8089"
"1","2","0","e","4","space","1886"
"1","2","0","e","4","space","7432"
"1","2","0","e","4","space","7824"
"1","2","0","e","4","space","1296"
"1","2","0","e","4","space","768"
"1","2","0","e","4","space","2937"
"1","2","0","e","4","space","2854"
"1","2","0","e","4","space","2102"
"1","2","0","e","4","space","6582"
"1","2","0","e","4","n","1962"
"1","2","0","e","4","space","9684"
"1","2","0","e","4","y","2649"
"1","2","0","e","4","space","8261"
"1","2","0","e","4","n","1274"
"1","2","0","e","4","space","3095"
"1","2","0","e","4","n","1899"
"1","2","0","e","4","space","6000"
"1","2","0","e","4","space","8156"
"","","1","b","4","b","10714"
"","","0","a","4","b","9045"
"","","0","a","4","e","13554"
"","","0","d","4","e","17924"
"2","2","0","d","5","space","804"
"2","2","0","d","5","space","6068"
"2","2","0","d","5","space","4386"
"2","2","0","d","5","space","16786"
"2","2","0","d","5","space","2615"
"2","2","0","d","5","space","4517"
"2","2","0","d","5","space","3607"
"2","2","0","d","5","n","2729"
"2","2","0","d","5","space","5605"
"2","2","0","d","5","space","6403"
"2","2","0","d","5","n","1657"
"2","2","0","d","5","space","2559"
"2","2","0","d","5","space","1800"
"2","2","0","d","5","space","5972"
"2","2","0","d","5","space","3120"
"2","2","0","d","5","space","6693"
"2","2","0","d","5","n","1274"
"2","2","0","d","5","space","4757"
"","","1","b","5","b","5109"
"","","0","b","5","e","5029"
"","","0","c","5","d","10712"
"","","0","d","5","c","10476"
"1","2","0","d","6","space","647"
"1","2","0","d","6","space","1193"
"1","2","0","d","6","n","1786"
"1","2","0","d","6","space","5590"
"1","2","0","d","6","space","1174"
"1","2","0","d","6","space","4594"
"1","2","0","d","6","space","1927"
"1","2","0","d","6","space","3028"
"1","2","0","d","6","space","4660"
"1","2","0","d","6","n","1546"
"1","2","0","d","6","space","2526"
"1","2","0","d","6","space","3203"
"1","2","0","d","6","space","3094"
