"Condition_Num","booklet","correct","correct_response","passage","response","response_time","total_response_time"
"1","2","0","d","6","space","1710","978770"
"","","0","d","6","a","8025","989569"
"","","1","c","6","c","5928","995497"
"","","0","d","6","b","15326","1010823"
"","","1","d","6","d","15824","1026647"
"2","2","0","d","7","space","1159","1027806"
"2","2","0","d","7","space","5258","1033064"
"2","2","0","d","7","space","3666","1036730"
"2","2","0","d","7","space","4790","1041520"
"2","2","0","d","7","space","5983","1047503"
"2","2","0","d","7","y","1658","1049161"
"2","2","0","d","7","space","2187","1051348"
"2","2","0","d","7","space","1808","1053156"
"2","2","0","d","7","space","1745","1054901"
"2","2","0","d","7","space","5022","1059923"
"2","2","0","d","7","space","4115","1064038"
"2","2","0","d","7","space","3060","1067098"
"2","2","0","d","7","space","3883","1070981"
"2","2","0","d","7","space","3555","1074536"
"2","2","0","d","7","space","3266","1077802"
"2","2","0","d","7","space","5735","1083537"
"2","2","0","d","7","space","6469","1090006"
"2","2","0","d","7","space","5078","1095084"
"2","2","0","d","7","y","8063","1103147"
"","","0","a","7","b","3657","1108936"
"","","1","a","7","a","7294","1116230"
"","","0","b","7","e","9983","1126213"
"","","0","c","7","e","15728","1141941"
"1","2","0","c","8","space","967","1142908"
"1","2","0","c","8","space","7279","1150187"
"1","2","0","c","8","space","3570","1153757"
"1","2","0","c","8","space","4323","1158080"
"1","2","0","c","8","space","4717","1162797"
"1","2","0","c","8","y","1353","1164150"
"1","2","0","c","8","space","7193","1171343"
"1","2","0","c","8","space","2385","1173728"
"1","2","0","c","8","y","1465","1175193"
"1","2","0","c","8","space","12221","1187414"
"1","2","0","c","8","space","3169","1190583"
"1","2","0","c","8","n","1209","1191792"
"1","2","0","c","8","space","2721","1194513"
"1","2","0","c","8","space","4659","1199172"
"","","0","e","8","a","4746","1209636"
"","","0","b","8","a","4655","1214291"
"","","0","a","8","b","10063","1224354"
"","","1","e","8","e","5236","1229590"
