"Condition_Num","booklet","correct","correct_response","passage","response","response_time"
"1","1","undefined","NA","1","space","2224"
"1","1","undefined","NA","1","space","10878"
"1","1","undefined","NA","1","space","27229"
"1","1","undefined","NA","1","y","3016"
"1","1","undefined","NA","1","space","22046"
"1","1","undefined","NA","1","y","1723"
"1","1","undefined","NA","1","space","9119"
"1","1","undefined","NA","1","space","5411"
"1","1","undefined","NA","1","space","8709"
"1","1","undefined","NA","1","space","10403"
"1","1","undefined","NA","1","space","3222"
"1","1","undefined","NA","1","space","8229"
"1","1","undefined","NA","1","space","4638"
"1","1","undefined","NA","1","space","4632"
"1","1","undefined","NA","1","space","6975"
"1","1","undefined","NA","1","space","8379"
"1","1","undefined","NA","1","space","4294"
"1","1","undefined","NA","1","space","3986"
"1","1","undefined","NA","1","space","12875"
"1","1","undefined","NA","1","space","2504"
"1","1","undefined","NA","1","space","6767"
"1","1","undefined","NA","1","y","3819"
"1","1","undefined","NA","1","space","4782"
"1","1","undefined","NA","1","space","6367"
"1","1","undefined","NA","1","n","1738"
"1","1","undefined","NA","1","space","9394"
"1","1","undefined","NA","1","y","1704"
"1","1","undefined","NA","1","space","8078"
"1","1","undefined","NA","1","n","2282"
"1","1","undefined","NA","1","space","13263"
"1","1","undefined","NA","1","space","6278"
"1","1","undefined","NA","1","space","4923"
"1","1","undefined","NA","1","space","3939"
"1","1","undefined","NA","1","space","9952"
"1","1","undefined","NA","1","space","6886"
"1","1","undefined","NA","1","space","10842"
"1","1","undefined","NA","1","space","8625"
"1","1","undefined","NA","1","y","1722"
"","","1","b","1","b","8907"
"","","1","a","1","a","5152"
"","","0","e","1","d","4819"
"","","0","c","1","a","6111"
"","","1","b","1","b","5022"
"","","0","e","1","d","5636"
"","","0","b","1","c","5751"
"","","0","a","1","b","14958"
"2","1","0","a","2","space","1433"
"2","1","0","a","2","space","9451"
"2","1","0","a","2","space","4527"
"2","1","0","a","2","space","5232"
"2","1","0","a","2","space","7567"
"2","1","0","a","2","space","1988"
"2","1","0","a","2","space","2023"
"2","1","0","a","2","space","7201"
"2","1","0","a","2","space","4361"
"2","1","0","a","2","n","2155"
"2","1","0","a","2","space","3730"
"2","1","0","a","2","space","2049"
"2","1","0","a","2","space","5246"
"2","1","0","a","2","y","1258"
"2","1","0","a","2","space","4225"
"","","1","c","2","c","3240"
"","","1","d","2","d","7552"
"","","1","d","2","d","3103"
"","","1","e","2","e","7656"
"1","1","0","e","3","space","1208"
"1","1","0","e","3","space","5504"
"1","1","0","e","3","space","5598"
"1","1","0","e","3","space","3966"
"1","1","0","e","3","space","8807"
"1","1","0","e","3","space","8893"
"1","1","0","e","3","y","1387"
"1","1","0","e","3","space","6092"
"1","1","0","e","3","space","4422"
"1","1","0","e","3","space","3052"
"1","1","0","e","3","space","7108"
"1","1","0","e","3","y","1337"
"","","1","c","3","c","5322"
"","","0","d","3","b","10185"
"","","1","c","3","c","3911"
"","","0","e","3","d","4592"
"2","1","0","e","4","space","975"
"2","1","0","e","4","space","2161"
"2","1","0","e","4","space","2099"
"2","1","0","e","4","space","6287"
"2","1","0","e","4","space","3137"
"2","1","0","e","4","space","5555"
"2","1","0","e","4","space","3219"
"2","1","0","e","4","space","6513"
"2","1","0","e","4","n","1179"
"2","1","0","e","4","space","8114"
"2","1","0","e","4","y","1258"
"2","1","0","e","4","space","1463"
"2","1","0","e","4","space","3226"
"2","1","0","e","4","y","1626"
"2","1","0","e","4","space","3397"
"2","1","0","e","4","n","2377"
"2","1","0","e","4","space","5613"
"2","1","0","e","4","space","7419"
"","","0","b","4","e","4683"
"","","1","a","4","a","4383"
"","","0","a","4","d","7236"
"","","0","d","4","a","4989"
"1","1","0","d","5","space","876"
"1","1","0","d","5","space","11246"
"1","1","0","d","5","space","5687"
"1","1","0","d","5","space","3359"
"1","1","0","d","5","space","3978"
"1","1","0","d","5","y","1354"
"1","1","0","d","5","space","3568"
"1","1","0","d","5","space","4061"
"1","1","0","d","5","y","1177"
"1","1","0","d","5","space","2541"
"1","1","0","d","5","space","10921"
"1","1","0","d","5","space","5744"
"1","1","0","d","5","y","1290"
"","","0","b","5","a","3591"
"","","1","b","5","b","6126"
"","","1","c","5","c","4407"
"","","1","d","5","d","9278"
"2","1","0","d","6","space","856"
"2","1","0","d","6","space","1478"
"2","1","0","d","6","n","1399"
"2","1","0","d","6","space","3752"
"2","1","0","d","6","space","4481"
"2","1","0","d","6","space","3596"
"2","1","0","d","6","space","1457"
"2","1","0","d","6","space","2470"
"2","1","0","d","6","space","3488"
"2","1","0","d","6","y","1242"
"2","1","0","d","6","space","1682"
"2","1","0","d","6","space","2177"
"2","1","0","d","6","space","2224"
"2","1","0","d","6","space","1459"
"2","1","0","d","6","space","3091"
"2","1","0","d","6","y","1386"
"2","1","0","d","6","space","2062"
"2","1","0","d","6","space","1554"
"2","1","0","d","6","y","1226"
"2","1","0","d","6","space","1391"
"","","1","d","6","d","7082"
"","","0","c","6","a","4655"
"","","0","d","6","c","5903"
